Year	EW(m)	NS(m)	UD(m)
2011.45068	-0.00549	0.0211798	-0.00105
2011.45342	-0.00078	0.0175898	-0.01701
2011.45616	0.00097	0.0187998	-0.01842
2011.4589	-0.00402	0.0178098	-0.01534
2011.46164	-0.00413	0.0172998	-0.01338
2011.46438	-0.00079	0.0172898	-0.00769
2011.46712	-0.00187	0.0168798	-0.00991
2011.46986	-0.00527	0.0236398	0.00249
2011.4726	0.00353	0.0160798	-0.01106
2011.47534	-0.00379	0.0193298	-0.00422
2011.47808	0.00466	0.0165098	-0.01184
2011.84521	-0.00126	0.0291398	-0.03156
2011.84795	0.00066	0.0277398	-0.03351
2011.97123	-0.01207	0.0352898	-0.05074
2011.97397	-0.01287	0.0333998	-0.04034
2011.97671	-0.0128	0.0344698	-0.04347
2011.97945	-0.01394	0.0345898	-0.0431
2011.98219	-0.01173	0.0353498	-0.04765
2011.98493	-0.01163	0.0349898	-0.04522
2011.99041	-0.01202	0.0376098	-0.04332
2011.99315	-0.01328	0.0359198	-0.04292
2012.00956	-0.01191	0.0325598	-0.0364
2012.0123	-0.01417	0.0356198	-0.04583
2012.01503	-0.01379	0.0357598	-0.04774
2012.01776	-0.01092	0.0346998	-0.04768
2012.02049	-0.0135	0.0348498	-0.04891
2012.02322	-0.01174	0.0355498	-0.04286
2012.02596	-0.01343	0.0357798	-0.0432
2012.02869	-0.01366	0.0350398	-0.04349
2012.03142	-0.01474	0.0371498	-0.04217
2012.03415	-0.01392	0.0354698	-0.04326
2012.03689	-0.01416	0.0357498	-0.04416
2012.03962	-0.01384	0.0364698	-0.04128
2012.04235	-0.01325	0.0368398	-0.04315
2012.04508	-0.0141	0.0357198	-0.03861
2012.04781	-0.01421	0.0357398	-0.04151
2012.05055	-0.01401	0.0358798	-0.04176
2012.05328	-0.0122	0.0366198	-0.04604
2012.05601	-0.0123	0.0363798	-0.04326
2012.05874	-0.01371	0.0357498	-0.0366
2012.06148	-0.01459	0.0372798	-0.04129
2012.06421	-0.01451	0.0386598	-0.03828
2012.06694	-0.01456	0.0383798	-0.03876
