Year	EW(m)	NS(m)	UD(m)
2010.81507	-0.00484	0.01463	-0.01056
2010.81781	-0.00569	0.01445	-0.01371
2010.82055	-0.00468	0.01557	-0.01754
2010.82329	-0.00603	0.01634	-0.01234
2010.82603	-0.00568	0.0159	-0.01076
2010.82877	-0.00615	0.01704	-0.01345
2010.83151	-0.00361	0.01771	-0.01261
2010.83425	-0.00369	0.01817	-0.01508
2010.83699	-0.00558	0.01606	-0.01324
2010.83973	-0.00554	0.01727	-0.01264
2010.84247	-0.00549	0.01603	-0.01181
2010.84521	-0.00623	0.01558	-0.01106
2010.84795	-0.00527	0.01608	-0.01145
2010.85068	-0.00583	0.01755	-0.01491
2010.85342	-0.00437	0.01555	-0.01425
2010.85616	-0.00421	0.01673	-0.01289
2010.8589	-0.00503	0.01723	-0.01023
2010.86164	-0.00474	0.01782	-0.01204
2010.86438	-0.00432	0.01644	-0.01179
2010.86712	-0.00439	0.01929	-0.01985
2010.86986	-0.00535	0.01624	-0.0162
2010.8726	-0.00652	0.01645	-0.01165
2010.87534	-0.00675	0.01868	-0.00895
2010.87808	-0.00659	0.01693	-0.00967
2010.88082	-0.00626	0.01664	-0.00916
2010.88356	-0.00523	0.01848	-0.00672
2010.8863	-0.00595	0.0183	-0.0078
2010.88904	-0.00601	0.01734	-0.00724
2010.89178	-0.00631	0.01751	-0.00719
2010.89452	-0.00533	0.01881	-0.0091
2010.89726	-0.00562	0.01922	-0.01192
2010.9	-0.0061	0.01865	-0.00997
2010.90274	-0.00546	0.01901	-0.00852
2010.90548	-0.00591	0.01797	-0.00775
2010.90822	-0.00615	0.01889	-0.00724
2010.91096	-0.00513	0.01889	-0.0111
2010.9137	-0.00722	0.01846	-0.00977
2010.91644	-0.0066	0.01845	-0.0078
2010.91918	-0.00722	0.01877	-0.0075
2010.92192	-0.00791	0.01695	-0.00206
2010.92466	-0.00759	0.01738	-0.00404
2010.9274	-0.006	0.01809	-0.0102
2010.93014	-0.0078	0.01561	-0.00875
2010.93288	-0.00738	0.01768	-0.00107
2010.93562	-0.00758	0.01815	-0.00357
2010.93836	-0.00636	0.01789	-0.00353
2010.9411	-0.00651	0.0191	-0.01344
2010.94384	-0.00608	0.01825	-0.00494
2010.94658	-0.00532	0.01807	-0.01142
2010.94932	-0.00586	0.01656	-0.0114
2010.95205	-0.00645	0.0168	-0.01034
2010.95479	-0.00807	0.01746	-0.00729
2010.95753	-0.00816	0.01891	-0.0014
2010.96027	-0.00871	0.01884	-0.00708
2010.96301	-0.00821	0.01902	-0.00682
2010.96575	-0.00797	0.0184	-0.00858
2010.96849	-0.00736	0.01805	-0.00747
2010.97123	-0.00726	0.01843	-0.00648
2010.97397	-0.00706	0.01982	-0.01187
2010.97671	-0.00647	0.01977	-0.01543
2010.97945	-0.00693	0.01932	-0.01008
2010.98219	-0.00704	0.01924	-0.00728
2010.98493	-0.0067	0.01851	-0.00786
2010.98767	-0.00705	0.01894	-0.00664
2010.99041	-0.00674	0.01921	-0.01003
2010.99315	-0.0056	0.01939	-0.01317
2010.99589	-0.0067	0.01842	-0.01057
2010.99863	-0.00638	0.0186	-0.01153
2011.00137	-0.00639	0.02024	-0.01989
2011.00411	-0.00709	0.0192	-0.01839
2011.00685	-0.00612	0.01867	-0.01418
