Year	EW(m)	NS(m)	UD(m)
1999.55753	-0.01093	0.01192	0.01385
1999.56027	-0.00475	0.00641	0.01029
1999.56301	-0.00879	0.01133	0.0118
1999.56575	-0.00981	0.01082	0.01209
1999.56849	-0.01091	0.01502	0.0166
1999.57123	-0.00787	0.00989	0.01147
1999.57397	-0.00752	0.01422	0.00704
1999.57671	-0.00438	0.01009	0.00366
1999.57945	-0.0039	0.01194	-0.00152
1999.58219	-0.0033	0.01281	-0.005
1999.58493	-0.00729	0.01879	0.00787
1999.58767	-0.00456	0.01477	0.01092
1999.59041	-0.01155	0.01509	0.01613
1999.59315	-0.0081	0.01368	0.00459
1999.59589	-0.00989	0.01771	0.01966
1999.59863	-0.00405	0.01096	0.00921
1999.60137	-0.00763	0.0147	0.01416
1999.60411	-0.00355	0.00659	-0.00495
1999.60685	-0.00979	0.01855	-0.00263
1999.60959	-0.00955	0.01557	0.00381
1999.61233	-0.00331	0.01315	-0.00279
1999.61507	-0.00506	0.01501	0.00007
1999.61781	-0.01078	0.02006	-0.00099
1999.62055	-0.00722	0.01882	0.0046
1999.62329	-0.01148	0.02116	0.01215
1999.62877	-0.0092	0.01545	0.0059
1999.63151	-0.00292	0.01393	0.00141
1999.63425	-0.00464	0.01174	0.01631
1999.63973	-0.01016	0.01552	0.01144
1999.64247	-0.00904	0.01371	0.01197
1999.64521	-0.00705	0.01862	0.00149
1999.64795	-0.00852	0.0149	0.00762
1999.65342	-0.00733	0.01606	0.0097
1999.65616	-0.00671	0.01548	-0.00016
1999.6589	-0.00558	0.01223	-0.00501
1999.66164	-0.01053	0.01233	0.00385
1999.66438	-0.00986	0.0147	0.00265
1999.66712	-0.01246	0.01496	0.00034
1999.66986	-0.00763	0.01755	0.00241
1999.6726	-0.0087	0.01372	-0.00593
1999.67808	-0.00613	0.01626	0.00001
1999.68082	-0.00638	0.01836	-0.00433
1999.68356	-0.00824	0.01661	0.00347
1999.6863	-0.01213	0.01331	-0.0056
1999.68904	-0.00996	0.01562	0.00155
1999.69178	-0.00724	0.01313	0.00394
1999.69452	-0.00558	0.01651	-0.00345
1999.69726	-0.01114	0.01849	0.00093
1999.7	-0.00929	0.01444	0.00554
1999.70274	-0.00903	0.01793	0.00422
1999.70548	-0.0115	0.01482	-0.00317
1999.70822	-0.00637	0.01591	-0.00735
1999.71096	-0.00933	0.01739	-0.00772
1999.7137	-0.00831	0.01528	-0.01009
1999.71644	-0.0095	0.01797	-0.00935
1999.71918	-0.007	0.01563	-0.00799
1999.72192	-0.01026	0.01591	-0.00743
