Year	EW(m)	NS(m)	UD(m)
2010.98767	-0.00181	0.0108	-0.0124
2010.99041	-0.00127	0.0111	-0.01413
2010.99315	-0.00138	0.01049	-0.01826
2010.99589	-0.00227	0.00982	-0.01381
2010.99863	-0.00109	0.00955	-0.01746
2011.00137	-0.00173	0.01096	-0.02672
2011.00411	-0.00286	0.01112	-0.02624
2011.00685	-0.00194	0.01005	-0.02128
2011.00959	-0.00262	0.01041	-0.02252
2011.01233	-0.00219	0.01152	-0.02744
2011.0589	-0.00273	0.01237	-0.02524
2011.06164	-0.00396	0.01205	-0.02279
2011.06438	-0.00247	0.01069	-0.02171
2011.06712	-0.00319	0.01204	-0.02572
2011.06986	-0.00355	0.01185	-0.02775
2011.0726	-0.00387	0.0111	-0.02789
2011.07534	-0.00498	0.01217	-0.02269
2011.07808	-0.00588	0.01226	-0.02107
2011.08082	-0.00541	0.01165	-0.01909
2011.08356	-0.00582	0.01218	-0.01843
2011.0863	-0.00528	0.01332	-0.01952
2011.08904	-0.00562	0.01365	-0.01842
2011.09178	-0.00581	0.01339	-0.01552
2011.09452	-0.006	0.01377	-0.01652
2011.09726	-0.00503	0.01411	-0.01679
2011.1	-0.00546	0.01393	-0.01777
2011.10274	-0.00458	0.01383	-0.01536
2011.10548	-0.00512	0.01458	-0.02012
2011.10822	-0.00474	0.01232	-0.01816
2011.11096	-0.00484	0.01388	-0.02214
2011.1137	-0.00542	0.01388	-0.01946
2011.11644	-0.00467	0.01249	-0.01902
2011.11918	-0.00704	0.01564	-0.0252
2011.12192	-0.00706	0.01331	-0.0199
2011.12466	-0.00639	0.01439	-0.02056
2011.1274	-0.00578	0.01402	-0.02267
2011.13014	-0.00581	0.01356	-0.0194
2011.13288	-0.00675	0.01404	-0.02082
2011.13562	-0.00675	0.01494	-0.02112
2011.13836	-0.0064	0.01425	-0.0218
2011.1411	-0.00712	0.01527	-0.02468
2011.14384	-0.00696	0.01502	-0.01762
2011.14658	-0.00554	0.01449	-0.0177
2011.14932	-0.00623	0.01438	-0.02437
2011.15205	-0.00648	0.01456	-0.01897
2011.15479	-0.00519	0.01532	-0.02347
2011.15753	-0.00591	0.01415	-0.02328
2011.16027	-0.00517	0.01341	-0.02243
2011.16301	-0.0062	0.01446	-0.01813
2011.16575	-0.00487	0.01492	-0.0152
2011.16849	-0.00717	0.01573	-0.019
2011.17123	-0.00679	0.01585	-0.01873
2011.17397	-0.00564	0.01612	-0.01805
2011.17671	-0.00518	0.01593	-0.02195
2011.17945	-0.00603	0.01557	-0.01679
2011.18219	-0.00666	0.01664	-0.02139
2011.18493	-0.00597	0.01603	-0.02577
2011.18767	-0.00597	0.01655	-0.02059
2011.19041	-0.00553	0.0163963	-0.01405
2011.19315	-0.00647	0.0166363	-0.02002
2011.19589	-0.00573	0.0174963	-0.02478
2011.19863	-0.0065	0.0171763	-0.02364
2011.20137	-0.00677	0.0174263	-0.01577
2011.20411	-0.00783	0.0184063	-0.01524
2011.20685	-0.00772	0.0167863	-0.01904
2011.20959	-0.00724	0.0191163	-0.01816
2011.21233	-0.0062	0.0179063	-0.0192
2011.21507	-0.00584	0.0186463	-0.01639
2011.21781	-0.006	0.0186663	-0.02433
2011.22055	-0.00657	0.0180563	-0.02343
2011.22329	-0.0073	0.0184863	-0.02263
2011.22603	-0.00741	0.0193663	-0.02393
2011.22877	-0.00776	0.0182563	-0.02189
2011.23151	-0.00777	0.0202463	-0.02437
2011.23425	-0.00782	0.0205763	-0.02397
2011.23699	-0.0087	0.0190163	-0.02513
2011.23973	-0.00771	0.0194163	-0.02169
2011.24247	-0.00805	0.0206163	-0.02176
2011.24521	-0.00792	0.0219663	-0.02427
2011.24795	-0.00673	0.0206663	-0.02993
2011.25068	-0.00665	0.0203063	-0.02867
2011.25342	-0.00798	0.0214863	-0.02651
2011.25616	-0.00873	0.0215363	-0.02918
2011.2589	-0.00783	0.0203363	-0.02618
2011.26164	-0.00702	0.0200563	-0.0273
2011.26438	-0.00585	0.0203063	-0.02607
2011.26712	-0.00701	0.0212063	-0.02721
2011.26986	-0.00777	0.0228163	-0.02592
2011.2726	-0.00649	0.0220563	-0.03054
2011.27534	-0.00658	0.0199663	-0.02794
2011.27808	-0.00726	0.0214963	-0.02307
2011.28082	-0.00741	0.0208863	-0.02333
2011.28356	-0.00723	0.0224663	-0.0216
2011.2863	-0.00706	0.0225363	-0.01965
2011.28904	-0.00591	0.0225163	-0.0228
2011.29178	-0.00656	0.0236863	-0.02354
2011.29452	-0.00453	0.0251263	-0.03258
2011.29726	-0.00587	0.0220463	-0.02502
2011.3	-0.00534	0.0210463	-0.02847
2011.30274	-0.00677	0.0231463	-0.03318
2011.30548	-0.00329	0.0280563	-0.02355
